review_number,recommendationid,appid,target_label,review_text_clean,voted_up,label,is_match,confidence,evidence,reason,is_valid,error,raw_response,teacher_model,verification_version,human_keep,review_note
11,35099531,680890,pos__bugs,"A really great game, still working through it having clocked 28+ hours. The art is fanastic and the gameplay is fun and challenging. The game is very well made and is very polished with no bugs and simple controls. I would recommend this game to everyone as you can not go wrong with the price and the quality of the game really does make it an absolute steal! Also, great new update which made the gameplay and puzzle aspect of this game that much more enjoyable. Keep up the great work.",True,recommended,True,0.95,The game is very well made and is very polished with no bugs,"The review explicitly states the absence of bugs and praises the polish of the game, directly aligning with the target label's definition.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.95,
  ""evidence"": ""The game is very well made and is very polished with no bugs"",
  ""reason"": ""The review explicitly states the absence of bugs and praises the polish of the game, directly aligning with the target label's definition.""
}
```",gemma3:27b,rare_positive_binary_v1,TRUE,
12,163502259,2297960,pos__bugs,"Here's my first 2hrs playing game review I'm not an FPS player but Relic Odyssey didn't make me feel dizzy or nausea. That's a big plus for people who don't often play FPS games. Game's plot is easy to understand and to play, game's pace is just right for me, not too fast or too slow to me feel asleep. Graphic is decent. HUD is simple, just display enough information for player, to me this is another plus point. No bugs in playing this game so far, but in terms of game experience it's not very good: - Lack of proper tutorial - The support language (Vietnamese) isn't good. Overall, I'm still enjoying playing this game despite the lacking I just wrote above.",True,recommended,True,0.85,No bugs in playing this game so far,"The review explicitly states the absence of bugs during gameplay, which directly aligns with the target label's definition.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.85,
  ""evidence"": ""No bugs in playing this game so far"",
  ""reason"": ""The review explicitly states the absence of bugs during gameplay, which directly aligns with the target label's definition.""
}
```",gemma3:27b,rare_positive_binary_v1,TRUE,
13,101778396,1525330,pos__bugs,"Game was fun but VERY short and VERY buggy... I would recommend if they added some replayability and fixed the bugs. Short: I have beat the game on the 2nd hardest difficulty in about 5 hours Gameplay issues: Do not have that much control over what skills you are awarded and can upgrade (for example can do a playthrough wanting to focus on archers but never be offered the archer damage talent, or never being offered an upgrade for it, even spending all your gems rerolling the talents you did get) Finished the game at lvl 27 but some characters do not unlock till 30 (i have since leveled up through the area, but its very strange that there is units you cannot even try during a normal playthrough) Would be really nice if there was a way to get/upgrade skills and get exp etc after you finished the campaign to really min/max your account, this would also add length to the game. (also note the campaign is fun, but the arena is not, it takes way too long (30min+ of idle pretty much) to get to a challenge, possible to start on a higher wave?) Very Buggy, some i encountered: In arena sometimes when an enemy casts a skill it can get stuck on screen... This has happened to me in the first couple waves (aoe kept hitting my unit for the next 20+ waves) or on higher waves (game over as a high dps skill keeps firing and never stops, even when u killed the enemy casting it) In the campaign, when u reroll a skill, you can get multiple skills back if u click fast enough on the reroll button. The volume sliders just dont work... I had to just mute the game as somethings would be crazy quiet and some would be super loud even though i changed the volume down low on skills, some skills went on the low volume and some didnt... When i reached level 30, went into area, i did not have access to the level 30 units (was not able to upgrade past level 1).. Restarted the game, then it worked... when hitting 75 max unit count before level 10 (possible in arena with upgrades) it still lets u level up, but u pay gold and nothing happens (cant go over 75 unit cap) when hitting max 3500 gold (just keep hitting I in arena when its maxed, it will keep upgrading) you no longer can gain gold at all AND waves wont progress (game gets stuck) fullscreen cuts off the bottom of the screen (can no longer see how many units of each time i have summoned)",False,not_recommended,True,0.85,I would recommend if they added some replayability and fixed the bugs.,"The review explicitly states a positive recommendation *if* bugs are fixed, indicating praise for the potential of bug fixes.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.85,
  ""evidence"": ""I would recommend if they added some replayability and fixed the bugs."",
  ""reason"": ""The review explicitly states a positive recommendation *if* bugs are fixed, indicating praise for the potential of bug fixes.""
}
```",gemma3:27b,rare_positive_binary_v1,FALSE,
14,202139142,3126530,pos__bugs,"First impressions: Extremely polished and bug-free for an early access release. The same good ol' D**mRL action. (Let's all take a moment of silence to extend a gigantic middle finger to Bethesda/Zenimax lawyers for going after that wonderful fan project.) But the dungeon changed. I didn't encounter an equivalent of the stairs to Hell's Arena in my run, so I dunno if the dungeon is a reskin and we can expect to encounter familiar places under a new name, or if it's a complete redesign. Redesign is better I guess, to get brand new content to play, since we can still download and play DRL, which is even getting new updates thanks to this game. I know most monsters are simply reskinned from D**mRL with the same mechanics, but I find the new sprites, sound and names well-chosen. Not knowing the capacities of a new, large enemy was really scary again, good job there. Some enemies also have variants (frost, poison) which I don't remember from the predecessor game. Perks have been reworked, for instance Reloader lvl2 is more powerful than lvl1 now, and lvl 3 has the effect from the previously separate ""Shottyman"" perk that depended on lvl2. One major, welcome convenience is that weapons that drop from enemies are always empty of ammo. Gone is the compulsive alterning between the G (pick up) and U (unload) keys to make sure you loot every bit of ammo on the map to make sure you don't penalize yourself. This is one instance where I'll take gameplay over ""realism"". If you're coming to this from Jupiter Hell and not D**mRL, prepare to enjoy the various liquid floors (water, acid, lava) and the destructible walls, they add so much to the atmosphere. I have some minor gripes with the UI (such as the one for modding weapons) which takes too many clicks and keystrokes to perform some actions, and makes it hard to compare weapons properly. Also, level generation is sometimes not that great, cutting off sections behind large bodies of acid or lava, which are very expensive to cross, and placing teleporters and levers that are too dangerous to be worth trying. Eventually, you'll figure out ways to deal with it, but those situations will always drain your resources, sometimes for nothing in return. (BTW, if you never experienced the original DRL, it's free, you can download it from chaosforge, or even easier, get the DRL mod for this game from the Steam Workshop.)",True,recommended,True,0.85,Extremely polished and bug-free for an early access release.,"The review explicitly states the game is 'bug-free' and 'polished', indicating positive evaluation of technical stability.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.85,
  ""evidence"": ""Extremely polished and bug-free for an early access release."",
  ""reason"": ""The review explicitly states the game is 'bug-free' and 'polished', indicating positive evaluation of technical stability.""
}
```",gemma3:27b,rare_positive_binary_v1,TRUE,
15,54642305,733690,pos__bugs,"This game is short but i really enjoyed it. sure its wonky. I was never a big fan of horror games up until I bought my Vive. I got a bunch of horror games because there just wasn't that many VR things to experience. WOW! did I get sucked in to horror games and experiences. Sure most of them are super short. If I can make it through with no crashes I'm willing to overlook alot. This game is short but it scared me a few times. It's really creepy. Price is high at 6 bucks for 20 minutes or so but I feel like I got my money's worth. Sure it's not long & the graphics aren't eye popping & also the controls are a little weird but I really enjoyed myself. Just keep expectations low & you might be surprised at this one. I've definitely seen a lot worse. LOL, I know it isn't the best recommendation but it scared me, its creepy and game didnt crash & its only 6 bucks",True,recommended,True,0.85,If I can make it through with no crashes I'm willing to overlook alot...game didnt crash,"The review explicitly states the game did not crash and that the reviewer is willing to overlook flaws if there are no crashes, indicating positive evaluation of technical stability.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.85,
  ""evidence"": ""If I can make it through with no crashes I'm willing to overlook alot...game didnt crash"",
  ""reason"": ""The review explicitly states the game did not crash and that the reviewer is willing to overlook flaws if there are no crashes, indicating positive evaluation of technical stability.""
}
```",gemma3:27b,rare_positive_binary_v1,TRUE,
16,159457886,2660850,pos__bugs,A very cute and addictive game. Only halfway finished but I've already repeated them all to get the perfect solution. Also works perfectly on the Steam Deck.,True,recommended,True,0.85,Also works perfectly on the Steam Deck.,"The review explicitly states that the game 'works perfectly', indicating technical stability and absence of bugs.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.85,
  ""evidence"": ""Also works perfectly on the Steam Deck."",
  ""reason"": ""The review explicitly states that the game 'works perfectly', indicating technical stability and absence of bugs.""
}
```",gemma3:27b,rare_positive_binary_v1,TRUE,
17,198503627,599960,pos__bugs,"Dolgorax is a retro adventure mishmash sprinkled with tons of brutality and randomness. Does this sound like a good Sunday filler? This game promises a retro-styled experience, and it sure delivers on that front. However, everything feels undercooked and way too experimental to grab the attention of the average player. The story is nearly non-existent and delivered unskillfully, plus with broken English. You still should be able to understand the overarching plot but it bears little to no relevance to the rest of the gameplay; thus, it is easily skippable. Similarly, the platforming elements also fail to deliver. Jumps and movement lack the precision required by some sections resulting in more frustration than fun. Even the map layouts do not feel particularly inspired. Still, I can't deny the authors some props for originality. The gamut of styles and weirdness stands way above average. Still, it certainly won't fit the tastes of the majority(especially casuals). Finally, the occasional shooting sections lack engaging mechanics. Simple and bland shooting will most likely disappoint even the most ardent pew-pew players. I could not catch myself enjoying any of those game fragments. Meh, that is the most I can express after completing this product. Originality is not backed by the creative assembly and utilization of ideas. Regrettable. The retro style feels more like a cover-up for lack of design skill rather than a creative choice. The novelty of disjointed styles and themes wears off fast when faced with the blandness of the design. Everything feels underdeveloped or like a gimmick to sway your attention from the surrounding flaws. On top of that, the sexual content here is a false advertisement, as there is barely anything that could count as lascivious. Disappointment again. As for the audio side, there is enough to warrant a positive mark. There is a sufficient variety of retro tracks, and while none of them remained in my head, I can't find anything wrong with them. It is the only element that I found enjoyable, but only to a limited degree. I sure won't be buying the soundtrack but never turned the audio off during the ordeal. No complaints here. No bugs were encountered, but some problems with getting stuck in walls in some sections sure felt grating. Overall, this retro-style adventure title feels lacking on several fronts. From the pointless story to undercooked platforming, to bland shooting. I really wanted to like this game, but I can't honestly recommend it after the completion: 3.1/10",False,not_recommended,True,0.75,No bugs were encountered,"The review explicitly states 'No bugs were encountered', indicating positive evaluation of technical stability.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.75,
  ""evidence"": ""No bugs were encountered"",
  ""reason"": ""The review explicitly states 'No bugs were encountered', indicating positive evaluation of technical stability.""
}
```",gemma3:27b,rare_positive_binary_v1,FALSE,
18,201364934,1207650,pos__bugs,"One of the best Story games I've ever played! Vast amound of characters, choices and paths to go down. Works perfectly together with its dlc too. Don't sleep on this!!!",True,recommended,True,0.85,Works perfectly,"The review explicitly states the game 'works perfectly', indicating technical stability and absence of bugs.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.85,
  ""evidence"": ""Works perfectly"",
  ""reason"": ""The review explicitly states the game 'works perfectly', indicating technical stability and absence of bugs.""
}
```",gemma3:27b,rare_positive_binary_v1,TRUE,
19,54564047,1010133,pos__bugs,"Excelent and well developed, nice of you guys to give us another 2 bonus engines, that's a huge thing. Tho it dose not cover many wagon variants. There are no oil, milk, cattle, sheep, open flatbeds, the familar engineer caboose with the fireplace chimmy which normally goes at the end of the train and no coal wagons either. I am giving it a thumbs up overall but I am also asking the devs to expand this product fully. No bugs or glitches present, you should experience a very rich and detailed simulation if your pc meets the requirements, there is still plenty to do and I have to give the class 08 a double thumbs up as it has extra features.",True,recommended,True,0.95,No bugs or glitches present,"The review explicitly states the absence of bugs and glitches, directly aligning with the target label's definition.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.95,
  ""evidence"": ""No bugs or glitches present"",
  ""reason"": ""The review explicitly states the absence of bugs and glitches, directly aligning with the target label's definition.""
}
```",gemma3:27b,rare_positive_binary_v1,TRUE,
20,203566120,3593780,pos__bugs,"I bought this game after seeing it in a video, suffice it to say I 100%'d it the same day. This is a fantastic time waster that is very easy to min-max, it ran flawlessly, no crashes, the only music is a singular song loop so put on your own tunes. Very laid back. Well worth the price as listed and if its on sale then its an even better steal. an easy 6-10 hour one and done time killer that wont waste your time",True,recommended,True,0.95,"it ran flawlessly, no crashes","The review explicitly states the game 'ran flawlessly' and had 'no crashes', directly indicating positive technical stability.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.95,
  ""evidence"": ""it ran flawlessly, no crashes"",
  ""reason"": ""The review explicitly states the game 'ran flawlessly' and had 'no crashes', directly indicating positive technical stability.""
}
```",gemma3:27b,rare_positive_binary_v1,TRUE,
21,39115994,689790,pos__bugs,"Foreword - This is actually my first time using VEGAS Pro for video editing. But I do have experience with AE and AP. I'd rate this way above AP and much closer to AE. I've done minor editing with this for now and don't know the full capabilities but I can see great potential. Runs well even on 'Okay' and 'Good' hardware. Currently using this with an i5-6600K, 8GB of RAM, and a GTX 1060 6GB. TL:DR - If it's cheap during sale then grab it. Got the bundle for around $100 which is way cheaper than full price. PRO: Works and loads fast. Fast render times too. Support for LUMIX GH5 (Giff me!) Relatively easy to use. (As long as you've some experience with other software) Saves projects really fast. CON: Crashes. A LOT. (Good thing the save feature works fast. Also, you can recover some things if you didnt' save) *AS OF OCTOBER 28, 2019* THIS IS SO BAD. From the explorer function, right clicking a video causes it to crash. This isn't some avoidable case. There is no workaround for this. Totally disrupts production. I HAVE NO IDEA WHY THEY RELEASE NEW VERSIONS EVERY YEAR WHEN THEY CAN'T EVEN SEEM TO PERFECT OR AT LEAST MAKE STABLE THE PREVIOUS VERSIONS. DO YOURSELF A FAVOR AND GO ADOBE CS. *AS OF AUGUST 2020* It works fine now. That took some time but it's working properly now without crashing. In fact, I hadn't had a crash in a long time. EDIT: Tried adding effects, crashes everytime.",False,not_recommended,True,0.85,"It works fine now. That took some time but it's working properly now without crashing. In fact, I hadn't had a crash in a long time.","The review explicitly states that the software was previously unstable and crashed frequently, but has since been fixed and is now stable ('without crashing'). This aligns with the definition of praising successful bug fixes.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.85,
  ""evidence"": ""It works fine now. That took some time but it's working properly now without crashing. In fact, I hadn't had a crash in a long time."",
  ""reason"": ""The review explicitly states that the software was previously unstable and crashed frequently, but has since been fixed and is now stable ('without crashing'). This aligns with the definition of praising successful bug fixes.""
}
```",gemma3:27b,rare_positive_binary_v1,FALSE,
22,17775284,297720,pos__bugs,"This is a game about being away from your family for work. A parallel commentary from the in game character and the Game Designer. (One of the Game Designer's family plays the family of the protagonist in game) I beat the game in right about 5 hours. No crashes or glitches. My wife watched me play and she and I both really felt the emotional impact moments from the game. I thought there were spots for some achievements, but maybe not many. The game starts out as a straightforward mystery, and then takes a turn to the surreal. This is more of a game to inspire contemplation rather than wrap everything up nicely. Most of the progression on the mystery is done via optional objectives, and if you don't do them you will be totally lost at the end. If you do all of the optional objectives the message of the game is deceptively easy to understand and only obfuscated by the preconceptions that you bring. Good game. Surreal ending, but good game.",True,recommended,True,0.95,No crashes or glitches.,"The review explicitly states the absence of crashes and glitches, directly aligning with the definition of praising technical stability.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.95,
  ""evidence"": ""No crashes or glitches."",
  ""reason"": ""The review explicitly states the absence of crashes and glitches, directly aligning with the definition of praising technical stability.""
}
```",gemma3:27b,rare_positive_binary_v1,TRUE,
23,75346605,1075550,pos__bugs,I personally love the run-n-gun feature of this game. It's great for both speedrunning or playing the game for the story line. So far the gameplay is smooth; with no bugs or technical issues found within my hours of gameplay. Kudos to development team that spent hours of effort in making this wonderful game! I highly recommend this game thanks to its Metal Slug kind of gameplay.,True,recommended,True,0.95,So far the gameplay is smooth; with no bugs or technical issues found within my hours of gameplay.,"The review explicitly states the absence of bugs and technical issues after significant playtime, directly aligning with the target label's definition.",True,,"```json
{
  ""target_label"": ""pos__bugs"",
  ""is_match"": true,
  ""confidence"": 0.95,
  ""evidence"": ""So far the gameplay is smooth; with no bugs or technical issues found within my hours of gameplay."",
  ""reason"": ""The review explicitly states the absence of bugs and technical issues after significant playtime, directly aligning with the target label's definition.""
}
```",gemma3:27b,rare_positive_binary_v1,TRUE,
